IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
140.238.9.27,4,4,0.00,68.04,0.00
152.70.123.225,4,4,0.00,181.37,0.00
165.1.79.60,4,4,0.00,199.67,0.00
68.233.127.163,4,4,0.00,224.40,0.00
204.216.216.148,4,4,0.00,250.83,0.00
141.147.85.167,4,4,0.00,252.73,0.00
141.147.16.152,4,4,0.00,252.76,0.00
132.145.54.84,4,4,0.00,278.36,0.00
132.145.53.55,4,4,0.00,281.33,0.00
158.180.230.4,4,4,0.00,285.32,0.00
140.238.173.181,4,4,0.00,286.02,0.00
129.151.198.3,4,4,0.00,300.51,0.00
132.226.163.224,4,4,0.00,348.84,0.00
129.151.104.245,4,4,0.00,348.93,0.00
168.138.197.97,4,3,0.25,130.06,0.00
